Designator,Mid X,Mid Y,Rotation,Layer
R47,100.85,-122.735,90.0,top
R48,101.05,-125.275,90.0,top
R49,102.0,-122.725,90.0,top
R5,110.66,-124.42,270.0,bottom
R50,158.515,-111.875,180.0,top
R52,158.55,-113.1,180.0,top
R55,157.875,-115.735,270.0,top
R57,158.975,-115.725,270.0,top
R6,112.45,-122.91,270.0,bottom
R7,144.49,-94.675,180.0,bottom
R8,148.625,-103.81,270.0,bottom
R9,147.625,-103.785,270.0,bottom
RF1,119.475,-93.175,0.0,top
RF2,113.26,-116.13,90.0,top
SW_GPIO1,112.98,-101.42,0.0,top
SW_GPIO3,163.14,-106.37,180.0,top
SW_REF_CLK1,163.2,-98.17,180.0,top
SW_WDT_RST1,163.14,-102.33,180.0,top
U1,150.025,-109.05,270.0,top
U10,148.38,-145.98,0.0,top
U11,140.3,-134.475,180.0,top
U12,154.575,-134.5,180.0,top
U13,170.35,-135.25,180.0,top
U14,105.57,-134.24,180.0,top
U2,130.93,-106.025,270.0,top
U3,162.34,-92.66,90.0,top
U4,105.65,-112.95,270.0,top
U6,124.775,-134.275,180.0,top
U7,101.775,-119.2625,90.0,top
U8,163.535,-113.725,0.0,top
U9,173.62,-125.93,90.0,top
Y1,126.75,-94.625,90.0,top
